id,nome,sku,preco_original,preco_promocional,categorias,descricao,url,timestamp,http_status
130908,Lentes de Contato Acuvue Oasys Transitions,130908,350.29,303.36,Lentes de contato,"A tecnologia Transitions agora em lentes de contato! Confira as lentes Acuvue Oasys Transitions, o último lançamento da Johnson & Johnson.",https://www.newlentes.com.br/produto/lentes-de-contato-acuvue-oasys-transitions-130908,2026-01-28T15:48:51.378Z,200
71259,Lentes de Contato Soflens 59,71259,158.9,150.96,Lentes de contato,Compre lentes de contato Soflens 59 da Bausch Lomb aqui na NewLentes. Loja referência em lentes de contato desde 2010. Aproveite o Frete Grátis*.gamento á vista.,https://www.newlentes.com.br/produto/lentes-de-contato-soflens-59-71259,2026-01-28T15:49:00.913Z,200
71305,Lentes de contato Biofinity,71305,236.84,225,Lentes de contato,Compre lente de contato Biofinity com um clique e ainda ganha Frete Grátis* para todo Brasil. Aproveite também nosso desconto à vista.,https://www.newlentes.com.br/produto/lentes-de-contato-biofinity-71305,2026-01-28T15:49:09.366Z,200
71245,Lentes de Contato Soflens Toric,71245,570,350,Lentes de contato,"Lentes Soflens Toric para cuidar do seu astigmatismo, você encontra aqui na NewLentes. Aproveite nosso frete grátis* e preço baixo. Confira!",https://www.newlentes.com.br/produto/lentes-de-contato-soflens-toric-71245,2026-01-28T15:49:18.691Z,200
71301,Lentes de Contato Biofinity Toric,71301,570,368.42,Lentes de contato,Compre lentes de contato Biofinity Toric da Coopervision aqui na NewLentes. Aproveite hoje nosso Frete Grátis* para todo Brasil e desconto à vista.,https://www.newlentes.com.br/produto/lentes-de-contato-biofinity-toric-71301,2026-01-28T15:49:27.992Z,200
130040,Lentes de Contato Air Optix Plus Hydraglyde,130040,236.84,225,Lentes de contato,Compre lentes de contato Air Optix Hydraglyde da Alcon aqui na NewLentes. Compre com Frete Grátis e Desconto no pagamento à vista.,https://www.newlentes.com.br/produto/lentes-de-contato-air-optix-plus-hydraglyde-130040,2026-01-28T15:49:35.553Z,200
130118,Lentes de Contato Avaira Vitality,130118,303.36,266.72,Lentes de contato,As lentes Avaira agora são Avaira Vitality. O fabricante CooperVision inovou no produto trazendo um upgrade sem esforço para você que usa lentes Avaira. Saiba mais!,https://www.newlentes.com.br/produto/lentes-de-contato-avaira-vitality-130118,2026-01-28T15:49:45.059Z,200
129774,Lentes de contato Air Optix Colors - COM GRAU,129774,173.68,165,Lentes de contato,Lentes de contato Air Optix Colors,https://www.newlentes.com.br/produto/lentes-de-contato-air-optix-colors-com-grau-129774,2026-01-28T15:49:54.885Z,200
130906,Lentes de Contato Air Optix Plus Hydraglyde Astigmatism,130906,420,350,Lentes de contato,Compre as lentes de contato Air Optix Plus Hydraglyde para Astigmatism com frete grátis* para todo Brasil. E ainda ganha desconto à vista.,https://www.newlentes.com.br/produto/lentes-de-contato-air-optix-plus-hydraglyde-astigmatism-130906,2026-01-28T15:50:04.211Z,200
71261,Lentes de Contato Purevision 2,71261,386.99,303.36,Lentes de contato,Compre lentes de contato Purevision 2 da Bausch Lomb aqui na NewLentes. Compra segura com frete grátis* para todo Brasil e desconto à vista.,https://www.newlentes.com.br/produto/lentes-de-contato-purevision-2-71261,2026-01-28T15:50:46.956Z,200
