nome_completo_lente,material,indice_refracao,tratamento,esf_min,esf_max,cil_min,cil_max,observacoes,preco_custo
Lente Ac. 1.61 Blue AR Azul Estendido,Acetato,1.61,Blue AR Azul,0.0,-8.0,-2.25,-4.0,Cilindrico Estendido,90.0
Lente Ac. 1.67 com AR Super Hidro,Acetato,1.67,AR Super Hidrofóbico,6.0,-12.0,0.0,-2.0,,140.0
Lente Ac. 1.67 com AR Super Hidro (Esférica Pura),Acetato,1.67,AR Super Hidrofóbico,-12.5,-15.0,0.0,0.0,Apenas Esférica,140.0
Lente Ac. 1.67 com AR Super Hidro Estendido,Acetato,1.67,AR Super Hidrofóbico,0.0,-8.0,-2.25,-4.0,Cilindrico Estendido,140.0
Lente Ac. 1.70 Blue AR Verde Super Hidro,Acetato,1.7,Blue AR Verde Super Hidrofóbico,-3.0,-18.0,0.0,-2.0,,320.0
Lente Ac. 1.70 Blue AR Verde Super Hidro (Esférica Pura),Acetato,1.7,Blue AR Verde Super Hidrofóbico,-18.5,-24.0,0.0,0.0,Apenas Esférica,320.0
Lente Ac. 1.74 com AR Super Hidro,Acetato,1.74,AR Super Hidrofóbico,-2.0,-12.0,0.0,-2.0,,380.0
Lente Ac. 1.74 com AR Super Hidro (Esférica Pura),Acetato,1.74,AR Super Hidrofóbico,-12.5,-15.0,0.0,0.0,Apenas Esférica,380.0
Lente Ac. 1.74 com AR Super Hidro Estendido,Acetato,1.74,AR Super Hidrofóbico,-2.0,-8.0,-2.25,-4.0,Cilindrico Estendido,380.0
Lente Ac. 1.56 Foto com AR Verde Super Hidro,Acetato,1.56,Fotossensível AR Verde Super Hidrofóbico,-4.0,3.0,0.0,-2.0,,66.0
Lente Ac. 1.56 Fotossensível com AR Verde Super Hidro Cil. Estendido,Acetato,1.56,Fotossensível AR Verde Super Hidrofóbico,-4.0,3.0,-2.25,-4.0,Cilindrico Estendido,80.0
Lente Ac. 1.61 Foto com AR Verde Super Hidro,Acetato,1.61,Fotossensível AR Verde Super Hidrofóbico,-10.0,6.0,0.0,-2.0,,150.0
Lente Ac. 1.61 Foto com AR Verde Super Hidro Estendido,Acetato,1.61,Fotossensível AR Verde Super Hidrofóbico,-6.0,6.0,-2.25,-4.0,Cilindrico Estendido,150.0
