fornecedor,linha,familia,produto,tipo_lente,processo,design,material,indice,esf_min,esf_max,cil_min,cil_max,ar,blue,foto,marca_foto,diametro_mm,codigo_web,valor,observacoes
Lentes Express,Express,Prime,AI AR FOTO BLUE,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.67,-8.0,6.0,0.0,-2.0,SIM,SIM,SIM,GENERICA,70,,590.0,
Lentes Express,Express,Prime,AI AR CIL EXT,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.67,-10.0,6.0,0.0,-4.0,SIM,NAO,NAO,,70,,420.0,Cilindro estendido
Lentes Express,Express,Prime,AI AR,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.7,-10.0,6.0,0.0,-2.0,SIM,NAO,NAO,,70,,420.0,
Lentes Express,Express,Prime,AI AR BLUE,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.7,-10.0,6.0,0.0,-2.0,SIM,SIM,NAO,,70,,490.0,
Lentes Express,Express,Prime,AI AR FOTO,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.7,-8.0,6.0,0.0,-2.0,SIM,NAO,SIM,GENERICA,70,,620.0,
Lentes Express,Express,Prime,AI AR FOTO BLUE,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.7,-8.0,6.0,0.0,-2.0,SIM,SIM,SIM,GENERICA,70,,690.0,
Lentes Express,Express,Prime,AI AR CIL EXT,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.7,-10.0,6.0,0.0,-4.0,SIM,NAO,NAO,,70,,520.0,Cilindro estendido
Lentes Express,Express,Prime,AI AR,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.74,-8.0,6.0,0.0,-2.0,SIM,NAO,NAO,,70,,520.0,
Lentes Express,Express,Prime,AI AR BLUE,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.74,-8.0,6.0,0.0,-2.0,SIM,SIM,NAO,,70,,590.0,
Lentes Express,Express,Prime,AI AR FOTO,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.74,-6.0,6.0,0.0,-2.0,SIM,NAO,SIM,GENERICA,70,,680.0,
Lentes Express,Express,Prime,AI AR FOTO BLUE,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.74,-6.0,6.0,0.0,-2.0,SIM,SIM,SIM,GENERICA,70,,750.0,
Lentes Express,Express,Prime,AI AR CIL EXT,VISAO_SIMPLES,ACABADA,ESF,ALTO_INDICE,1.74,-8.0,6.0,0.0,-4.0,SIM,NAO,NAO,,70,,620.0,Cilindro estendido
