codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,blue_uv,foto,marca_foto,marcacao,esf_min,esf_max,cil_min,cil_max,add_min,add_max,alt_min,alt_max,diametro_mm,distancia_trabalho_min_m,distancia_trabalho_max_m,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro
4431,STYLE DK 1.50,STYLE,DK,DK,INTERMEDIARIA,OCUPACIONAL,1.5,1.5,NAO,NAO,,,,,,,1.0,3.0,,,70,1.3,3.0,195.0,254.0,314.0,384.0
4421,INTERVIEW 1.50,INTERVIEW,INTERVIEW,INTERVIEW,INTERMEDIARIA,OCUPACIONAL,1.5,1.5,NAO,NAO,,,,,,,1.0,3.0,,,70,0.8,1.3,180.0,239.0,299.0,369.0
