id,nome,sku,preco_original,preco_promocional,categorias,descricao,url,timestamp,http_status
30,Soflens Starcolors II (O par),30,,6000,"Bausch & Lomb; Coloridas; Fabricantes; Mensais",,https://lentedecontato.lentenet.com.br/produto/soflens-starcolors-ii-o-par/,2026-01-28T05:04:52.914Z,200
54,Solflex Color Hype,54,,9999,"Coloridas; Fabricantes; Mensais; Solótica",,https://lentedecontato.lentenet.com.br/produto/solflex-color-hype/,2026-01-28T05:05:00.489Z,200
55,Solflex Natural Colors,55,,9999,"Coloridas; Fabricantes; Mensais; Solótica",,https://lentedecontato.lentenet.com.br/produto/solflex-natural-colors/,2026-01-28T05:05:06.128Z,200
65,1-Day Acuvue Moist Astigmatismo Combo 4 Caixas,65,,1.12304,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-astigmatismo-combo/,2026-01-28T05:05:11.275Z,200
5,1-Day Acuvue Moist combo 4 caixas,5,,88668,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/1-day-acuvue-moist-combo-4-caixas/,2026-01-28T05:05:19.402Z,200
7,Acuvue 2 – Combo com 4 Caixas | Lentes com Desconto | LenteNet,7,,75824,"Acuvue; Combos promocionais","Leve 4 caixas de Acuvue 2 com preço reduzido! Lentes confortáveis, seguras e originais. Frete grátis e desconto no PIX.",https://lentedecontato.lentenet.com.br/produto/acuvue-2-combo-4-caixas/,2026-01-28T05:05:24.536Z,200
3,Acuvue Oasys 1-Day Com Hydraluxe combo 4 caixas,3,,80000,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-1-day-com-hydraluxe-combo-4-caixas/,2026-01-28T05:05:30.054Z,200
60,Acuvue Oasys Astigmatismo Combo 4 Caixas,60,,1.12,"Acuvue; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-astigmatismo-combo-4-caixas/,2026-01-28T05:05:35.487Z,200
1,Acuvue Oasys – Combo com 4 Caixas | Lentes de Contato – Lentenet,1,,98804,"Acuvue; Combos; Combos promocionais",Combo 4 caixas Acuvue Oasys com tecnologia Hydraclear Plus – conforto duradouro para miopia/hipermetropia. Entrega rápida na Lentenet.,https://lentedecontato.lentenet.com.br/produto/acuvue-oasys-combo-4-caixas/,2026-01-28T05:05:42.918Z,200
83,Air Optix Plus Hydraglyde Multifocal Combo 4 Caixas,83,,1.68,"Combos promocionais; Alcon; Black Friday",,https://lentedecontato.lentenet.com.br/produto/air-opaqua-multifocal-combo-4-caixas/,2026-01-28T05:05:48.348Z,200
84,Air Optix Plus Hydraglyde combo 4 caixas,84,,68000,"Alcon; Black Friday; Combos; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/air-optix-aqua-plus-hydraglyde-combo-4-caixas/,2026-01-28T05:05:54.599Z,200
86,Air Optix Plus Hydraglyde para Astigmatismo Combo 4 caixas,86,,1.02,"Alcon; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/air-optix-plus-hydraglyde-para-astigmatismo-combo-4-caixas/,2026-01-28T05:06:02.332Z,200
91,Precision 1 Day combo 4 caixas,91,,82000,"Alcon; Black Friday",,https://lentedecontato.lentenet.com.br/produto/precision-1-day-combo-4-caixas/,2026-01-28T05:06:09.193Z,200
34,Bausch + Lomb Ultra combo 4 caixas,34,,80000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/bausch-lomb-ultra-combo-4-caixas/,2026-01-28T05:06:14.316Z,200
36,Purevision 2 Combo 4 caixas,36,,68000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/purevision-2-combo-4-caixas/,2026-01-28T05:06:19.575Z,200
67,Purevision 2 Multifocal Combo 4 Caixas,67,,1.4,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/purevision-2-multifocal-combo/,2026-01-28T05:06:24.611Z,200
35,Soflens 59 Comfort combo 4 caixas,35,,58000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-59-comfort-combo-4-caixas/,2026-01-28T05:06:32.081Z,200
66,Soflens Multifocal Combo 4 Caixas,66,,1.2,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-multifocal-combo/,2026-01-28T05:06:40.155Z,200
63,Soflens para Astigmatismo Combo 4 Caixas,63,,99000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/soflens-para-astigmatismo-combo/,2026-01-28T05:06:45.383Z,200
82,Ultra One Day combo 4 caixas,82,,68000,"Bausch & Lomb; Black Friday; Combos promocionais",,https://lentedecontato.lentenet.com.br/produto/ultra-one-day-combo-4-caixas/,2026-01-28T05:06:50.642Z,200
42,Avaira Combo 4 Caixas,42,,64800,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/avaira-combo-4-caixas/,2026-01-28T05:06:55.721Z,200
38,Biofinity Combo 4 Caixas,38,,84000,"Black Friday; Combos promocionais; CooperVision; Coopervision",,https://lentedecontato.lentenet.com.br/produto/biofinity-combo-4-caixas/,2026-01-28T05:07:00.816Z,200
93,Biofinity Combo 6 Caixas e ganhe 2 caixas de brinde,93,,1.68,"Black Friday; Combos promocionais; CooperVision; Coopervision",,https://lentedecontato.lentenet.com.br/produto/biofinity-combo-6-caixas/,2026-01-28T05:07:08.537Z,200
61,Biofinity Toric Combo 4 caixas,61,,1.196,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/biofinity-toric-combo-4-caixas/,2026-01-28T05:07:15.721Z,200
47,Clariti 1 Day Combo 4 Caixas,47,,46000,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/clariti-1-day-combo-4-caixas/,2026-01-28T05:07:20.971Z,200
64,Clariti 1 Day para Astigmatismo combo 4 caixas,64,,72000,"Black Friday; Combos promocionais; CooperVision",,https://lentedecontato.lentenet.com.br/produto/clariti-1-day-para-astigmatismo-combo/,2026-01-28T05:07:26.013Z,200
