id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,adicao_min,adicao_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega
92b12509-a934-4d42-9b59-76b226604571,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue Foto AR Cil. Ext. (Residual Azul),LT 1.59 Policarbonato Blue Foto AR Cil. Ext. (Residual Azul),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-6.0,6.0,-4.0,-2.25,-6.0,6.0,-4.0,-2.25,0.0,0.0,113.0,113.0,339.0,ativo,True,True,5
f22290af-353e-4888-8370-45faea7657d8,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue AR (Residual Verde),LT 1.59 Policarbonato Blue AR (Residual Verde),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-2.0,2.0,-2.0,0.0,-2.0,2.0,-2.0,0.0,0.0,0.0,41.5,41.5,254.15,ativo,True,True,5
c41f453f-de79-4c5e-83b0-4e1049f3fb6e,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue AR (Residual Azul),LT 1.59 Policarbonato Blue AR (Residual Azul),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,41.5,41.5,254.15,ativo,True,True,5
d8cacb22-8963-48a8-9151-28765b22de9a,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue AR Cil. Ext. (Residual Azul),LT 1.59 Policarbonato Blue AR Cil. Ext. (Residual Azul),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,6.0,-4.0,-2.25,-6.0,6.0,-4.0,-2.25,0.0,0.0,57.0,57.0,255.7,ativo,True,True,5
5f4cc172-6790-418f-8e31-628e1905f4d6,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue Foto AR (Residual Azul),LT 1.59 Policarbonato Blue Foto AR (Residual Azul),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-6.0,6.0,-2.0,0.0,-6.0,6.0,-2.0,0.0,0.0,0.0,104.0,104.0,312.0,ativo,True,True,5
468357de-a7aa-4da6-a5de-45716b48e1c5,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.59 Policarbonato Blue Foto AR Cil. Ext. (Residual Azul),LT 1.59 Policarbonato Blue Foto AR Cil. Ext. (Residual Azul),visao_simples,POLICARBONATO,1.59,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-6.0,6.0,-4.0,-2.25,-6.0,6.0,-4.0,-2.25,0.0,0.0,113.0,113.0,339.0,ativo,True,True,5
394d2cdf-5cac-471e-8248-b0f9171c78e8,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 AR (Residual Verde),LT 1.67 AR (Residual Verde),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,-2.0,0.0,-10.0,6.0,-2.0,0.0,0.0,0.0,72.0,72.0,257.2,ativo,True,True,5
6cb9d2f7-94b6-4b97-b775-a5e6ee657e92,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 AR Cil. Ext. (Residual Verde),LT 1.67 AR Cil. Ext. (Residual Verde),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-10.0,6.0,-4.0,-2.25,-10.0,6.0,-4.0,-2.25,0.0,0.0,100.0,100.0,300.0,ativo,True,True,5
dc92a6c1-965c-4a6c-8c80-520f7b0f70c0,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 Blue AR (Residual Azul),LT 1.67 Blue AR (Residual Azul),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-10.0,6.0,-2.0,0.0,-10.0,6.0,-2.0,0.0,0.0,0.0,100.0,100.0,300.0,ativo,True,True,5
94491e4f-9b92-4088-bb24-edb681f2c99d,199bae08-0217-4b70-b054-d3f0960b4a78,57fc0111-0a99-4642-8b66-f1d87a79afce,LT 1.67 Blue AR Cil. Ext. (Residual Azul),LT 1.67 Blue AR Cil. Ext. (Residual Azul),visao_simples,HIGH_INDEX,1.67,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-10.0,6.0,-4.0,-2.25,-10.0,6.0,-4.0,-2.25,0.0,0.0,195.0,195.0,585.0,ativo,True,True,5
