id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,polarizado,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega,adicao_min,adicao_max
47364bde-51c1-4f6d-a6de-6bf4bc2df67c,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR 1.56,Express CR AR 1.56,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,False,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,13.0,13.0,251.3,ativo,True,True,3,,
38879f90-da06-406e-8198-40c825e1d2c2,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR 1.56 CIL EXT,Express CR AR 1.56 CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,False,nenhum,nenhum,True,False,False,True,False,-6.0,5.0,0.0,-4.0,-6.0,5.0,0.0,-4.0,32.0,32.0,253.2,ativo,True,True,3,,
9261f571-8af7-4b96-a05a-9b32a65a8242,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR 1.56 BLUE,Express CR AR 1.56 BLUE,visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,22.0,22.0,252.2,ativo,True,True,3,,
ea0cb3af-1d00-491f-b44d-b7ad2ef9a733,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR 1.56 BLUE CIL EXT,Express CR AR 1.56 BLUE CIL EXT,visao_simples,CR39,1.56,economica,True,True,True,True,nenhum,nenhum,True,True,True,True,False,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,58.0,58.0,255.8,ativo,True,True,3,,
74a32368-bd85-4e91-9106-058562eb1cb9,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR FOTO,Express CR AR FOTO,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,False,-4.0,4.0,0.0,-2.0,-4.0,4.0,0.0,-2.0,37.0,37.0,253.7,ativo,True,True,3,,
3f8d2977-22a5-4faf-8282-1f9f3a71d0ba,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR FOTO CIL EXT,Express CR AR FOTO CIL EXT,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,False,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,45.0,45.0,254.5,ativo,True,True,3,,
f1cef931-5545-4588-9ff8-02cd8dd0ce76,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR FOTO BLUE,Express CR AR FOTO BLUE,visao_simples,CR39,1.56,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,52.0,52.0,255.2,ativo,True,True,3,,
36c89081-acfc-4811-9d62-bc802cdb91f7,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express CR AR FOTO BLUE CIL EXT,Express CR AR FOTO BLUE CIL EXT,visao_simples,CR39,1.56,economica,True,True,True,True,fotocromático,fotocromático,True,True,True,True,False,-4.0,4.0,0.0,-4.0,-4.0,4.0,0.0,-4.0,62.0,62.0,256.2,ativo,True,True,3,,
b07fd70a-f94c-401b-95be-609a53d2003b,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59,Express POLI AR 1.59,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-6.0,6.0,0.0,-2.0,-6.0,6.0,0.0,-2.0,25.0,25.0,252.5,ativo,True,True,3,,
21bb2267-7e95-40be-a583-b6b2c934a234,8eb9498c-3d99-4d26-bb8c-e503f97ccf2c,7bf35e08-7a88-4547-a06a-a6ce62fcc827,Express POLI AR 1.59 CIL EXT,Express POLI AR 1.59 CIL EXT,visao_simples,POLICARBONATO,1.59,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,False,-6.0,4.0,0.0,-4.0,-6.0,4.0,0.0,-4.0,43.0,43.0,254.3,ativo,True,True,3,,
