id,fornecedor_id,marca_id,nome_lente,nome_comercial,tipo_lente,material,indice_refracao,categoria,tratamento_antirreflexo,tratamento_antirrisco,tratamento_uv,tratamento_blue_light,tratamento_fotossensiveis,fotossensivel,ar,blue,uv400,antirrisco,esferico_min,esferico_max,cilindrico_min,cilindrico_max,grau_esferico_min,grau_esferico_max,grau_cilindrico_min,grau_cilindrico_max,preco_custo,custo_base,preco_tabela,status,ativo,disponivel,prazo_entrega,adicao_min,adicao_max
55039f8f-6f65-481c-b9b9-67350bb4dae2,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.61 com AR Super Hidrofóbico Estendido,Lente Ac. 1.61 com AR Super Hidrofóbico Estendido,visao_simples,CR39,1.61,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,0.0,-5.0,-4.0,-5.25,0.0,-5.0,-4.0,-5.25,64.0,64.0,256.4,ativo,True,True,7,,
125544bb-4ec4-4097-b223-5ae8631d4c85,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.61 com AR Super Hidrofóbico (Esférica Pura),Lente Ac. 1.61 com AR Super Hidrofóbico (Esférica Pura),visao_simples,CR39,1.61,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,-12.5,-15.0,0.0,0.0,-12.5,-15.0,0.0,0.0,64.0,64.0,256.4,ativo,True,True,7,,
d8bb0b1a-1a48-4ba0-b1c6-2afaf57b69ad,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.67 com AR Super Hidrofóbico,Lente Ac. 1.67 com AR Super Hidrofóbico,visao_simples,CR39,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,6.0,-12.0,0.0,-2.0,6.0,-12.0,0.0,-2.0,98.0,98.0,294.0,ativo,True,True,7,,
c64ff6a1-e3eb-4eee-aaa1-2545a1b672d5,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.67 com AR Super Hidrofóbico (Esférica Pura),Lente Ac. 1.67 com AR Super Hidrofóbico (Esférica Pura),visao_simples,CR39,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,-12.5,-15.0,0.0,0.0,-12.5,-15.0,0.0,0.0,98.0,98.0,294.0,ativo,True,True,7,,
64771f7c-bd87-4acb-a59f-3caac3578092,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.67 com AR Super Hidrofóbico Cil. Estendido,Lente Ac. 1.67 com AR Super Hidrofóbico Cil. Estendido,visao_simples,CR39,1.67,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,0.0,-8.0,-2.25,-4.0,0.0,-8.0,-2.25,-4.0,98.0,98.0,294.0,ativo,True,True,7,,
0793abb9-676b-4adb-af33-b02a161ba682,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.74 com AR Super Hidrofóbico,Lente Ac. 1.74 com AR Super Hidrofóbico,visao_simples,CR39,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,-2.0,-12.0,0.0,-2.0,-2.0,-12.0,0.0,-2.0,368.0,368.0,1104.0,ativo,True,True,7,,
cf6aaa24-180a-4ce0-90f8-26f0cb232577,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.74 com AR Super Hidrofóbico (Esférica Pura),Lente Ac. 1.74 com AR Super Hidrofóbico (Esférica Pura),visao_simples,CR39,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,-12.5,-15.0,0.0,0.0,-12.5,-15.0,0.0,0.0,368.0,368.0,1104.0,ativo,True,True,7,,
ac13c175-44cb-45fb-a882-d9bf2f8a6c95,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.74 com AR Super Hidrofóbico Cil. Estendido,Lente Ac. 1.74 com AR Super Hidrofóbico Cil. Estendido,visao_simples,CR39,1.74,economica,True,True,True,False,nenhum,nenhum,True,False,True,True,-2.0,-8.0,-2.25,-4.0,-2.0,-8.0,-2.25,-4.0,368.0,368.0,1104.0,ativo,True,True,7,,
ea4637e9-131f-40e1-9c2c-3500329cf1e9,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.56 Foto com AR,Lente Ac. 1.56 Foto com AR,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,-6.0,4.0,0.0,-2.0,-6.0,4.0,0.0,-2.0,48.0,48.0,254.8,ativo,True,True,7,,
ec4bd848-67c8-430c-b76f-b7ec43939277,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.56 Foto com AR Cil. Estendido,Lente Ac. 1.56 Foto com AR Cil. Estendido,visao_simples,CR39,1.56,economica,True,True,False,False,fotocromático,fotocromático,True,False,False,True,-4.0,4.0,-2.25,-4.0,-4.0,4.0,-2.25,-4.0,65.0,65.0,256.5,ativo,True,True,7,,
fa7b83c4-3440-4528-b686-41e38bfaba08,e1e1eace-11b4-4f26-9f15-620808a4a410,4af04ba6-e600-4874-b8dc-45a2e1773725,Lente Ac. 1.50 Transitions Gen.8 com AR,Lente Ac. 1.50 Transitions Gen.8 com AR,visao_simples,CR39,1.50,economica,True,True,False,False,transitions,transitions,True,False,False,True,-2.0,2.0,0.0,-2.0,-2.0,2.0,0.0,-2.0,195.0,195.0,585.0,ativo,True,True,7,,
